"30","25","35","60","80","50","1","21","20"
11650863.1249065,777487.586224953,3728.09525817892,0,6020.23000554477,60187.8235834723,1378.63465083309,0,6095.07585131615
0,71840212.4557785,43178.4939624456,1955.2720582579,0,0,0,15560.4425424311,100482.054314102
0,0,1369622.51095868,0,0,2068.77809337399,0,0,0
0,0,0,1776997.50310316,0,0,0,0,22342.1463722088
0,0,0,0,1470321.87009782,0,0,0,0
0,0,0,0,0,6833.0306089204,219.271541736384,0,0
0,0,0,0,0,0,144.792824208219,0,0
0,0,0,0,0,0,0,221534.902663904,4337.56359557812
0,0,0,0,0,0,0,0,4485048.41403475
